peer,KPI,sort,average,Product,Value,Rank,group,Hierarchy1,last,Code
All products,Dashboards,12,7.268464593,Tableau,8.216660834,10,2,,,
All products,Dashboards,12,7.268464593,TARGIT,9.615119803,4,2,,,
All products,Dashboards,12,7.268464593,Zoho Analytics,6.820546147,16,2,,,
All products,Distribution of Reports,13,6.503409638,Bissantz,8.174201616,8,2,,,
All products,Distribution of Reports,13,6.503409638,Domo,7.980973451,10,2,,,
All products,Distribution of Reports,13,6.503409638,Dundas,8.728508217,5,2,,,
All products,Distribution of Reports,13,6.503409638,Entrinsik,10,1,2,,,
All products,Distribution of Reports,13,6.503409638,IBM Cog. Analytics,6.738495575,15,2,,,
All products,Distribution of Reports,13,6.503409638,IBM Plan. Analytics,4.472800625,18,2,,,
All products,Distribution of Reports,13,6.503409638,InfoZoom,6.868204804,13,2,,,
All products,Distribution of Reports,13,6.503409638,Logi Analytics,8.737335978,4,2,,,
All products,Distribution of Reports,13,6.503409638,Looker,7.12079646,12,2,,,
All products,Distribution of Reports,13,6.503409638,Microsoft Excel,1,24,2,,,
All products,Distribution of Reports,13,6.503409638,Microsoft Power BI,5.761132405,16,2,,,
All products,Distribution of Reports,13,6.503409638,MicroStrategy,9.339225436,3,2,,,
All products,Distribution of Reports,13,6.503409638,Oracle Analytics Cloud,8.045239548,9,2,,,
All products,Distribution of Reports,13,6.503409638,Phocas,8.359598366,7,2,,,
All products,Distribution of Reports,13,6.503409638,Pyramid,9.478867867,2,2,,,
All products,Distribution of Reports,13,6.503409638,Qlik Sense,3.92380531,20,2,,,
All products,Distribution of Reports,13,6.503409638,QlikView,2.556308878,23,2,,,
All products,Distribution of Reports,13,6.503409638,Report One,5.161504425,17,2,,,
All products,Distribution of Reports,13,6.503409638,SAP Analytics Cloud,3.951562794,19,2,,,
All products,Distribution of Reports,13,6.503409638,SAP BO BI,3.211253289,22,2,,,
All products,Distribution of Reports,13,6.503409638,Serviceware Perf.,3.60840708,21,2,,,
All products,Distribution of Reports,13,6.503409638,Tableau,6.777180784,14,2,,,
All products,Distribution of Reports,13,6.503409638,TARGIT,8.55829945,6,2,,,
All products,Distribution of Reports,13,6.503409638,Zoho Analytics,7.528128951,11,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Bissantz,7.821052632,10,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Domo,1,24,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Dundas,7.040866873,12,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Entrinsik,9.808592911,3,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,IBM Cog. Analytics,4.941052632,21,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,IBM Plan. Analytics,8.773834586,6,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,InfoZoom,9.821542228,2,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Logi Analytics,3.706766917,23,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Looker,5.736842105,17,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Microsoft Excel,4.227586207,22,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Microsoft Power BI,6.939588101,14,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,MicroStrategy,8.285156712,8,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Oracle Analytics Cloud,8.452631579,7,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Phocas,10,1,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Pyramid,9.221510297,5,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Qlik Sense,7.558373206,11,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,QlikView,5.649392713,19,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Report One,5.712128146,18,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,SAP Analytics Cloud,5.141982864,20,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,SAP BO BI,6.691789474,15,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Serviceware Perf.,9.634586466,4,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Tableau,6.22406015,16,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,TARGIT,8.212224109,9,2,,,
All products,Analyses & Ad Hoc Query,14,6.983536875,Zoho Analytics,7.0033241,13,2,,,
All products,Advanced Analytics,15,4.965172609,Bissantz,6.788450983,5,2,,,
All products,Advanced Analytics,15,4.965172609,Domo,3.672064272,16,2,,,
All products,Advanced Analytics,15,4.965172609,Dundas,6.7725181,6,2,,,
